,sbj0,sbj1,sbj2,sbj3,sbj4,sbj5,sbj6,sbj7,sbj8
монтаж,0.000507016608026,5.50352269784e-05,4.95340318594e-05,5.61021684702e-16,0.000141671902384,9.14456878276e-13,0.0,3.73503753508e-05,0.000232100137509
вязкостнозагущающие,0.0,0.0,6.20218415861e-05,0.0,0.0,0.0,1.31873600581e-11,0.0,0.0
вероятностностатистического,0.0,3.41810755344e-06,0.0,0.0,0.0,0.0,4.04937673011e-05,0.0,0.0
пистолетпулемет,0.0,0.0,6.2021863414e-05,0.0,0.0,0.0,0.0,0.0,0.0
httpabcvvsurubooksinnmenpageasp,0.0,0.0,0.0,4.11507983245e-07,0.0,4.08915802836e-05,0.0,0.0,0.0
краткий,0.000114830378152,0.000211248872802,0.000197375833523,0.000109539891127,5.98037586315e-05,0.000214875442907,0.0,7.67520468798e-05,0.000199610294658
эпистемология,0.0,0.0,0.0,0.000106617742858,0.0,0.0,5.46618082353e-07,0.0,0.0
рса,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.21201145602e-05,0.0
макролидного,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9113350542e-05
двумерный,0.0,0.000642678991426,0.0,9.00447494345e-11,4.7117468057e-05,0.0,0.0,0.0,8.60510935511e-16
измерительноисполнительных,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.91133469041e-05
отопить,0.000104952494439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
service,2.27820280002e-11,6.88586123884e-13,0.0,0.0,0.000100377736089,4.27420272899e-05,0.0,0.00020563621365,4.7450481361e-05
цитируемость,0.0,0.0,0.0,0.0,0.0,6.26933449599e-10,0.0,0.0,4.91126083944e-05
крыть,0.0,3.31110641127e-07,0.000421895849286,0.000210897705983,0.0,0.0,0.0,0.000117737065011,0.0
микросхема,0.0,0.0,0.0,0.0,0.00269449991174,0.0,0.0,0.0,0.0
автоматический,0.00235464447178,0.00184340937994,0.000631048693322,0.000453891989309,0.00139761413448,0.00126831873786,0.000278313673334,0.0003959267342,4.59472721559e-05
вскрыть,0.0,0.0,0.0,2.63609062218e-15,4.89362537337e-05,1.46968042933e-14,0.0,0.0,0.0
пожаротушения,5.3366235079e-05,0.0,0.0,0.0,0.0,4.05086539104e-05,0.0,2.26045189511e-11,1.65234922966e-10
усложнение,5.34496757965e-09,0.000201244532946,8.38041887619e-05,0.000179059643415,9.13484982448e-05,8.82411331986e-05,8.30470016808e-05,2.19582343561e-05,0.000127112463815
экспансия,0.0,0.0,0.0,8.49635431455e-11,0.0,4.12076224166e-05,0.0,0.0,0.0
звено,0.000889231916517,0.00042337414925,0.000500195543282,0.000198210356757,0.000855035381392,0.000241867935983,1.79840381e-16,2.8770384688e-06,0.000424856174504
